"country","iso2c","iso3c","year","RQ.EST","VA.EST","PV.EST","GE.EST","CC.EST","RL.EST"
"Iran, Islamic Rep.","IR","IRN",2016,-1.23414504528046,-1.34296941757202,-0.813075423240662,-0.192301854491234,-0.717735409736633,-0.680720984935761
"Iran, Islamic Rep.","IR","IRN",2017,-1.20061385631561,-1.29984736442566,-0.934016048908234,-0.199220180511475,-0.816620290279388,-0.685296177864075
"Iran, Islamic Rep.","IR","IRN",2018,-1.37822425365448,-1.33407306671143,-1.3479346036911,-0.433131128549576,-0.963367998600006,-0.696153163909912
"Iran, Islamic Rep.","IR","IRN",2019,-1.4258553981781,-1.38690960407257,-1.70692205429077,-0.556162297725677,-1.05230605602264,-0.751262247562408
"Iran, Islamic Rep.","IR","IRN",2020,-1.46717286109924,-1.4767347574234,-1.69702434539795,-0.99354088306427,-1.09052395820618,-0.867971539497375
"Iran, Islamic Rep.","IR","IRN",2021,-1.62226402759552,-1.4702707529068,-1.62163186073303,-0.858067035675049,-1.09630155563354,-0.947225153446198
"Iraq","IQ","IRQ",2002,-1.99508655071259,-2.05034351348877,-1.60128676891327,-1.96257197856903,-1.39314687252045,-1.51278352737427
"Iraq","IQ","IRQ",2003,-1.44656097888947,-1.50118041038513,-2.39324522018433,-1.74186146259308,-1.20932233333588,-1.64462292194366
"Iraq","IQ","IRQ",2004,-1.65152943134308,-1.64300525188446,-3.18035173416138,-1.60700845718384,-1.48941576480865,-1.82427036762238
"Iraq","IQ","IRQ",2005,-1.53895127773285,-1.30099940299988,-2.68864846229553,-1.6364278793335,-1.37778413295746,-1.71689701080322
"Iraq","IQ","IRQ",2006,-1.3950526714325,-1.28219759464264,-2.82640218734741,-1.73449349403381,-1.45071041584015,-1.68082666397095
"Iraq","IQ","IRQ",2007,-1.32441711425781,-1.12617206573486,-2.77105069160461,-1.57320332527161,-1.46137678623199,-1.83802831172943
"Iraq","IQ","IRQ",2008,-1.1475750207901,-1.10468685626984,-2.46689653396606,-1.24016404151917,-1.46223545074463,-1.76817429065704
"Iraq","IQ","IRQ",2009,-1.00585889816284,-1.02345550060272,-2.17470788955688,-1.1879198551178,-1.32808184623718,-1.70071530342102
"Iraq","IQ","IRQ",2010,-1.02928555011749,-0.991843640804291,-2.23926711082459,-1.10368037223816,-1.3631272315979,-1.70723676681519
"Iraq","IQ","IRQ",2011,-1.00996208190918,-1.06950151920319,-1.84698355197906,-1.07396984100342,-1.25806474685669,-1.55628681182861
"Iraq","IQ","IRQ",2012,-1.14061653614044,-1.07618057727814,-1.93405020236969,-1.05594384670258,-1.24822700023651,-1.57004082202911
"Iraq","IQ","IRQ",2013,-1.12933826446533,-1.05719232559204,-2.01139044761658,-1.04816651344299,-1.3153293132782,-1.56391370296478
"Iraq","IQ","IRQ",2014,-1.1338427066803,-1.14425325393677,-2.48033785820007,-1.05616867542267,-1.36334228515625,-1.44824421405792
"Iraq","IQ","IRQ",2015,-1.12743592262268,-1.1279354095459,-2.26035189628601,-1.17353999614716,-1.41592681407928,-1.5468932390213
"Iraq","IQ","IRQ",2016,-0.979118645191193,-1.01554954051971,-2.31358766555786,-1.20345497131348,-1.44723451137543,-1.76013433933258
"Iraq","IQ","IRQ",2017,-1.09011483192444,-1.047243475914,-2.3071026802063,-1.20053422451019,-1.41571772098541,-1.74507582187653
"Iraq","IQ","IRQ",2018,-1.04639756679535,-1.00415813922882,-2.52842211723328,-1.24507141113281,-1.44122731685638,-1.79168701171875
"Iraq","IQ","IRQ",2019,-1.0797153711319,-0.964400827884674,-2.60378122329712,-1.2862833738327,-1.37422370910645,-1.75637316703796
"Iraq","IQ","IRQ",2020,-1.32095611095428,-1.00720608234406,-2.46385145187378,-1.28007757663727,-1.31546902656555,-1.7775753736496
"Iraq","IQ","IRQ",2021,-1.11215388774872,-0.96296638250351,-2.39699196815491,-1.29181385040283,-1.25052845478058,-1.73155725002289
"Israel","IL","ISR",2002,0.919349908828735,0.589134454727173,-1.46213829517365,1.03079378604889,1.19631850719452,1.06982314586639
"Israel","IL","ISR",2003,0.905544698238373,0.644292593002319,-1.51878440380096,1.13938665390015,1.08441746234894,0.910984516143799
"Israel","IL","ISR",2004,0.817563414573669,0.662250339984894,-1.32268130779266,1.24159622192383,0.911944389343262,0.848270535469055
"Israel","IL","ISR",2005,0.861688017845154,0.646124362945557,-1.24752271175385,1.03811526298523,0.823018372058868,0.807715952396393
"Israel","IL","ISR",2006,0.997165620326996,0.774156391620636,-1.2592887878418,1.24749112129211,1.00024521350861,0.891168355941772
"Israel","IL","ISR",2007,1.10058665275574,0.740543842315674,-1.25203287601471,1.23018038272858,0.843343794345856,0.816402733325958
"Israel","IL","ISR",2008,1.171262383461,0.723265171051025,-1.32310199737549,1.32513344287872,0.884931147098541,0.837563395500183
"Israel","IL","ISR",2009,1.09900569915771,0.570473194122314,-1.62521064281464,1.27123546600342,0.803259551525116,0.835133969783783
"Israel","IL","ISR",2010,1.21482515335083,0.583845376968384,-1.34115171432495,1.38602197170258,0.750026702880859,0.909712016582489
"Israel","IL","ISR",2011,1.31119441986084,0.653309524059296,-1.20131802558899,1.33658075332642,0.797708332538605,1.00532269477844
"Israel","IL","ISR",2012,1.1711333990097,0.644344866275787,-1.07890439033508,1.26950836181641,0.902115404605865,0.928755700588226
"Israel","IL","ISR",2013,1.15938007831573,0.64940619468689,-1.10128474235535,1.24334001541138,0.906050980091095,0.97163850069046
"Israel","IL","ISR",2014,1.21122050285339,0.727600991725922,-1.03973531723022,1.20602762699127,0.860894560813904,1.10547494888306
"Israel","IL","ISR",2015,1.2680686712265,0.744936585426331,-1.09491276741028,1.38379633426666,0.93956995010376,1.1572390794754
"Israel","IL","ISR",2016,1.30929720401764,0.786671698093414,-0.794536352157593,1.33967506885529,1.18132281303406,1.06481802463531
"Israel","IL","ISR",2017,1.2697217464447,0.697237491607666,-0.887956023216248,1.38092422485352,0.822245359420776,1.01619458198547
"Israel","IL","ISR",2018,1.24497127532959,0.621403992176056,-0.91167026758194,1.2012026309967,0.782391667366028,0.986686706542969
"Israel","IL","ISR",2019,1.27937412261963,0.660120010375977,-0.793371558189392,1.31913733482361,0.80241847038269,1.04125499725342
"Israel","IL","ISR",2020,1.24481773376465,0.654493689537048,-0.850372076034546,1.08803522586823,0.562145948410034,0.965977609157562
"Israel","IL","ISR",2021,1.20903754234314,0.682616651058197,-1.06135106086731,1.29196643829346,0.85577130317688,0.941778302192688
"Jordan","JO","JOR",2002,0.0243817344307899,-0.796563565731049,-0.456774443387985,0.0788851901888847,-0.0623230412602425,0.0616088919341564
"Jordan","JO","JOR",2003,0.190872624516487,-0.634042143821716,-0.0737013816833496,0.16534985601902,0.333168774843216,0.324614763259888
"Jordan","JO","JOR",2004,0.294872522354126,-0.549854576587677,-0.234758883714676,0.0367701984941959,0.290117710828781,0.297468900680542
"Jordan","JO","JOR",2005,0.0782263427972794,-0.514288365840912,-0.132929384708405,0.00781855918467045,0.280934184789658,0.299183219671249
"Jordan","JO","JOR",2006,0.325835555791855,-0.717004716396332,-0.762317538261414,0.193850517272949,0.279343515634537,0.303705811500549
"Jordan","JO","JOR",2007,0.315182119607925,-0.676780760288239,-0.300741791725159,0.235636860132217,0.287263840436935,0.36315992474556
"Jordan","JO","JOR",2008,0.336663454771042,-0.737368822097778,-0.370714008808136,0.243918031454086,0.380167007446289,0.397879958152771
"Jordan","JO","JOR",2009,0.283120602369308,-0.784575819969177,-0.356457054615021,0.241980701684952,0.16472952067852,0.216567948460579
"Jordan","JO","JOR",2010,0.229590550065041,-0.799314975738525,-0.312492519617081,0.0963057428598404,0.0383146591484547,0.146154016256332
"Jordan","JO","JOR",2011,0.310276180505753,-0.796205163002014,-0.513562262058258,0.103498704731464,0.0994421243667603,0.20058399438858
"Jordan","JO","JOR",2012,0.230972111225128,-0.734492719173431,-0.523977637290955,0.0486354753375053,0.0705865696072578,0.350899755954742
"Jordan","JO","JOR",2013,0.165576979517937,-0.806754469871521,-0.6063152551651,0.000103879363450687,0.06590935587883,0.375538468360901
"Jordan","JO","JOR",2014,0.09913120418787,-0.753637075424194,-0.540025532245636,0.142491489648819,0.135434180498123,0.467406094074249
"Jordan","JO","JOR",2015,0.112906821072102,-0.769376814365387,-0.605778574943542,0.145525068044662,0.272945016622543,0.436740309000015
"Jordan","JO","JOR",2016,0.0780434757471085,-0.71107143163681,-0.492398381233215,0.15731056034565,0.279011130332947,0.26536950469017
"Jordan","JO","JOR",2017,0.0943333879113197,-0.720976769924164,-0.451625287532806,0.106722481548786,0.255141973495483,0.257462173700333
"Jordan","JO","JOR",2018,0.0430090539157391,-0.723807156085968,-0.388832628726959,0.134981378912926,0.149858891963959,0.2539322078228
"Jordan","JO","JOR",2019,0.0463295765221119,-0.694556832313538,-0.261968046426773,0.112162530422211,0.105421982705593,0.15701200067997
"Jordan","JO","JOR",2020,0.267318606376648,-0.747323870658875,-0.274932473897934,0.126554161310196,0.0628296583890915,0.222329378128052
